epoch,step,train_loss_epoch,train_loss_step,valid_loss
0,9,,29950.513671875,
0,19,,28741.7578125,
0,29,,25079.478515625,
0,39,,24438.19921875,
0,49,,25449.525390625,
0,59,,20618.53125,
0,69,,17695.27734375,
0,79,,17143.4296875,
0,89,,12870.8203125,
0,99,,17729.412109375,
0,109,,20237.30078125,
0,119,,20744.0859375,
0,129,,6902.3623046875,
0,139,,14643.5263671875,
0,149,,5926.2509765625,
0,159,,10554.861328125,
0,169,,7191.2509765625,
0,179,,6075.7861328125,
0,189,,12090.654296875,
0,199,,7215.1533203125,
0,209,,8156.0400390625,
0,219,,3182.54248046875,
0,229,,4896.337890625,
0,239,,4620.97705078125,
0,249,,9257.0390625,
0,259,,1749.4913330078125,
0,269,,2642.74072265625,
0,279,,2907.109130859375,
0,289,,952.656982421875,
0,299,,13644.18359375,
0,309,,21649.029296875,
0,319,,1861.95068359375,
0,329,,1329.6800537109375,
0,339,,6145.0234375,
0,349,,1744.6319580078125,
0,359,,5099.0673828125,
0,369,,9175.12890625,
0,379,,8027.7646484375,
0,389,,2514.89453125,
0,399,,4293.861328125,
0,409,,971.885498046875,
0,419,,2886.189208984375,
0,429,,789.9290771484375,
0,439,,5780.66552734375,
0,449,,874.5140380859375,
0,459,,3465.7451171875,
0,469,,1366.1341552734375,
0,479,,4793.97265625,
0,489,,12302.3759765625,
0,499,,3011.943359375,
0,509,,1432.2913818359375,
0,519,,7799.22021484375,
0,529,,2809.892333984375,
0,539,,1835.716064453125,
0,549,,6547.638671875,
0,559,,9504.068359375,
0,569,,670.7618408203125,
0,579,,8665.4169921875,
0,589,,1748.61669921875,
0,599,,608.96728515625,
0,609,,4554.37744140625,
0,619,,2877.1123046875,
0,629,,2133.783935546875,
0,639,,18200.326171875,
0,649,,3005.7666015625,
0,659,,2719.925048828125,
0,669,,3633.12255859375,
0,679,,1767.3466796875,
0,689,,5545.7861328125,
0,699,,831.0466918945312,
0,709,,1623.572265625,
0,719,,637.4290771484375,
0,729,,15781.021484375,
0,739,,1666.37646484375,
0,749,,10112.0224609375,
0,759,,2409.50927734375,
0,769,,989.8876953125,
0,779,,579.914306640625,
0,789,,11018.326171875,
0,799,,546.2219848632812,
0,809,,1175.147216796875,
0,819,,1130.594482421875,
0,829,,1500.6444091796875,
0,839,,1440.3045654296875,
0,849,,7136.03515625,
0,859,,7251.2646484375,
0,869,,4418.25390625,
0,879,,670.5745849609375,
0,889,,1014.1539306640625,
0,899,,677.411865234375,
0,909,,3674.379638671875,
0,919,,12984.6181640625,
0,929,,656.836181640625,
0,939,,1782.9322509765625,
0,949,,9530.044921875,
0,959,,6721.8671875,
0,969,,5346.52392578125,
0,979,,4368.63671875,
0,989,,725.2191162109375,
0,999,,676.702880859375,
0,1009,,17080.40234375,
0,1019,,6235.1376953125,
0,1029,,1469.7825927734375,
0,1039,,655.0446166992188,
0,1049,,10290.9765625,
0,1059,,415.2673034667969,
0,1069,,481.922607421875,
0,1079,,1862.3258056640625,
0,1089,,9265.1806640625,
0,1099,,420.61163330078125,
0,1109,,1940.0322265625,
0,1119,,3147.8271484375,
0,1129,,1199.754150390625,
0,1139,,699.9444580078125,
0,1149,,2113.534912109375,
0,1159,,1643.492919921875,
0,1169,,7166.8212890625,
0,1179,,426.0544738769531,
0,1189,,947.6355590820312,
0,1199,,1201.7093505859375,
0,1209,,7236.9462890625,
0,1219,,5507.51171875,
0,1229,,12166.734375,
0,1239,,1298.1761474609375,
0,1249,,510.265625,
0,1259,,8132.7578125,
0,1269,,1889.779541015625,
0,1279,,2041.638916015625,
0,1289,,8954.279296875,
0,1299,,3169.2041015625,
0,1309,,379.7590026855469,
0,1319,,3623.072509765625,
0,1329,,400.5354919433594,
0,1339,,1365.85009765625,
0,1349,,3036.21337890625,
0,1359,,2734.201904296875,
0,1369,,7346.833984375,
0,1379,,1735.79541015625,
0,1389,,507.97906494140625,
0,1399,,1834.423583984375,
0,1409,,3182.35546875,
0,1419,,528.7064819335938,
0,1429,,20469.2890625,
0,1439,,5757.505859375,
0,1449,,941.567626953125,
0,1459,,12717.390625,
0,1469,,14436.71875,
0,1479,,995.123779296875,
0,1489,,1881.656005859375,
0,1499,,3702.8984375,
0,1509,,1110.150146484375,
0,1519,,603.1036376953125,
0,1529,,436.646240234375,
0,1539,,1620.6771240234375,
0,1549,,465.42333984375,
0,1559,,575.6060791015625,
0,1569,,288.236328125,
0,1579,,1511.07763671875,
0,1589,,4792.251953125,
0,1599,,641.7702026367188,
0,1609,,4086.75048828125,
0,1619,,1411.4786376953125,
0,1629,,6852.6083984375,
0,1639,,987.862060546875,
0,1649,,2004.03955078125,
0,1659,,656.344482421875,
0,1669,,1341.153564453125,
0,1679,,423.21319580078125,
0,1689,,845.1837768554688,
0,1699,,261.4849548339844,
0,1709,,4842.0771484375,
0,1719,,3539.6220703125,
0,1729,,420.43994140625,
0,1739,,4965.412109375,
0,1749,,4264.10302734375,
0,1759,,1327.6573486328125,
0,1769,,501.7342224121094,
0,1779,,859.6264038085938,
0,1789,,2568.732177734375,
0,1799,,4618.5185546875,
0,1809,,624.6341552734375,
0,1819,,5639.2666015625,
0,1829,,297.6778564453125,
0,1839,,6936.86669921875,
0,1849,,2027.949462890625,
0,1859,,1436.383544921875,
0,1869,,1222.4813232421875,
0,1879,,5436.2490234375,
0,1889,,8464.18359375,
0,1899,,7167.4189453125,
0,1909,,263.858154296875,
0,1919,,6653.130859375,
0,1929,,9891.2373046875,
0,1939,,1689.742919921875,
0,1949,,3916.69287109375,
0,1959,,957.1396484375,
0,1969,,2955.258056640625,
0,1979,,5567.30615234375,
0,1989,,1326.248046875,
0,1999,,2608.70703125,
0,1999,,,2413.676513671875
0,1999,5197.19580078125,,
1,2009,,2431.92578125,
1,2019,,3791.2353515625,
1,2029,,1737.929443359375,
1,2039,,1869.912353515625,
1,2049,,497.0806884765625,
1,2059,,661.3429565429688,
1,2069,,589.8668823242188,
1,2079,,2932.56884765625,
1,2089,,5013.3017578125,
1,2099,,3289.171875,
1,2109,,317.3311767578125,
1,2119,,406.21905517578125,
1,2129,,881.22216796875,
1,2139,,1522.796142578125,
1,2149,,486.8288269042969,
1,2159,,1137.598388671875,
1,2169,,554.6531372070312,
1,2179,,3791.331298828125,
1,2189,,403.9771728515625,
1,2199,,4774.12353515625,
1,2209,,2041.7357177734375,
1,2219,,551.7431640625,
1,2229,,596.3339233398438,
1,2239,,270.19927978515625,
1,2249,,4343.056640625,
1,2259,,6675.4111328125,
1,2269,,4504.48046875,
1,2279,,1324.5894775390625,
1,2289,,174.29367065429688,
1,2299,,476.3943786621094,
1,2309,,310.3843994140625,
1,2319,,423.285400390625,
1,2329,,1528.6956787109375,
1,2339,,1208.771484375,
1,2349,,285.28192138671875,
1,2359,,3201.234375,
1,2369,,293.5191345214844,
1,2379,,6364.2275390625,
1,2389,,2267.703369140625,
1,2399,,952.5866088867188,
1,2409,,232.152099609375,
1,2419,,702.9990234375,
1,2429,,1626.991943359375,
1,2439,,291.87127685546875,
1,2449,,1043.277587890625,
1,2459,,2190.942138671875,
1,2469,,5947.0927734375,
1,2479,,6288.92724609375,
1,2489,,4997.984375,
1,2499,,790.3277587890625,
1,2509,,279.1109619140625,
1,2519,,361.678466796875,
1,2529,,414.468505859375,
1,2539,,9246.7998046875,
1,2549,,1237.1416015625,
1,2559,,5277.3251953125,
1,2569,,3514.306884765625,
1,2579,,2945.40185546875,
1,2589,,10590.1630859375,
1,2599,,908.4964599609375,
1,2609,,5751.8583984375,
1,2619,,8452.779296875,
1,2629,,2933.47216796875,
1,2639,,4292.4345703125,
1,2649,,1926.058837890625,
1,2659,,266.9280700683594,
1,2669,,4018.792724609375,
1,2679,,7020.3408203125,
1,2689,,1540.611572265625,
1,2699,,697.3372192382812,
1,2709,,914.4545288085938,
1,2719,,2862.83447265625,
1,2729,,440.8536071777344,
1,2739,,6708.7685546875,
1,2749,,511.42352294921875,
1,2759,,1286.3837890625,
1,2769,,1713.59716796875,
1,2779,,2363.9609375,
1,2789,,3343.153564453125,
1,2799,,490.92034912109375,
1,2809,,4812.0107421875,
1,2819,,210.70016479492188,
1,2829,,5077.0078125,
1,2839,,1127.93505859375,
1,2849,,606.3594970703125,
1,2859,,4695.24755859375,
1,2869,,810.5533447265625,
1,2879,,390.6578063964844,
1,2889,,2029.18359375,
1,2899,,4562.20166015625,
1,2909,,2522.94482421875,
1,2919,,980.2073364257812,
1,2929,,5392.72998046875,
1,2939,,2023.97314453125,
1,2949,,9560.4970703125,
1,2959,,3335.92333984375,
1,2969,,1662.091796875,
1,2979,,423.98944091796875,
1,2989,,477.927978515625,
1,2999,,5867.5771484375,
1,3009,,285.3349609375,
1,3019,,1683.209716796875,
1,3029,,683.607177734375,
1,3039,,741.7211303710938,
1,3049,,1522.95654296875,
1,3059,,806.7783203125,
1,3069,,469.44183349609375,
1,3079,,2902.86865234375,
1,3089,,310.4557189941406,
1,3099,,330.2994384765625,
1,3109,,352.1352233886719,
1,3119,,3417.831787109375,
1,3129,,715.6759643554688,
1,3139,,738.6138916015625,
1,3149,,4788.11572265625,
1,3159,,6966.392578125,
1,3169,,2974.59033203125,
1,3179,,306.8189697265625,
1,3189,,209.7894287109375,
1,3199,,5008.19384765625,
1,3209,,3433.30712890625,
1,3219,,467.5103759765625,
1,3229,,401.05865478515625,
1,3239,,1493.24072265625,
1,3249,,8457.0791015625,
1,3259,,1868.4520263671875,
1,3269,,855.21826171875,
1,3279,,5840.85546875,
1,3289,,978.1087646484375,
1,3299,,392.0604248046875,
1,3309,,10010.6982421875,
1,3319,,250.76551818847656,
1,3329,,1085.832763671875,
1,3339,,1755.6995849609375,
1,3349,,605.2449340820312,
1,3359,,5688.9189453125,
1,3369,,1715.1500244140625,
1,3379,,1490.353271484375,
1,3389,,845.9834594726562,
1,3399,,487.3428955078125,
1,3409,,10376.1591796875,
1,3419,,3304.220703125,
1,3429,,1535.8846435546875,
1,3439,,1847.230224609375,
1,3449,,2136.707763671875,
1,3459,,438.03521728515625,
1,3469,,1235.95458984375,
1,3479,,1087.088134765625,
1,3489,,546.2767333984375,
1,3499,,236.32321166992188,
1,3509,,2914.0380859375,
1,3519,,5383.7841796875,
1,3529,,585.8656616210938,
1,3539,,1979.4783935546875,
1,3549,,9978.5771484375,
1,3559,,1205.5452880859375,
1,3569,,775.954833984375,
1,3579,,1862.109375,
1,3589,,1132.01904296875,
1,3599,,5937.6630859375,
1,3609,,11196.85546875,
1,3619,,163.4823455810547,
1,3629,,683.7919921875,
1,3639,,11535.689453125,
1,3649,,583.8660888671875,
1,3659,,485.6833801269531,
1,3669,,691.8490600585938,
1,3679,,6016.373046875,
1,3689,,7349.26171875,
1,3699,,8117.8271484375,
1,3709,,512.7918701171875,
1,3719,,6741.21875,
1,3729,,4934.318359375,
1,3739,,5898.42578125,
1,3749,,295.52972412109375,
1,3759,,1800.4512939453125,
1,3769,,5067.56494140625,
1,3779,,1904.4078369140625,
1,3789,,3544.53466796875,
1,3799,,1261.470703125,
1,3809,,4848.90087890625,
1,3819,,477.1934509277344,
1,3829,,803.8192749023438,
1,3839,,1332.6351318359375,
1,3849,,4885.591796875,
1,3859,,2656.994140625,
1,3869,,4363.0478515625,
1,3879,,1557.062744140625,
1,3889,,406.2576599121094,
1,3899,,4468.8896484375,
1,3909,,447.18634033203125,
1,3919,,1217.9544677734375,
1,3929,,2758.6669921875,
1,3939,,11099.2705078125,
1,3949,,595.2484130859375,
1,3959,,2606.395751953125,
1,3969,,1423.8638916015625,
1,3979,,212.29379272460938,
1,3989,,285.16461181640625,
1,3999,,232.1966552734375,
1,3999,,,2398.133056640625
1,3999,2831.835693359375,,
2,4009,,339.0492858886719,
2,4019,,1241.5528564453125,
2,4029,,6793.8408203125,
2,4039,,222.84957885742188,
2,4049,,1234.5914306640625,
2,4059,,2604.447265625,
2,4069,,3831.918212890625,
2,4079,,3292.06591796875,
2,4089,,324.1533203125,
2,4099,,925.377197265625,
2,4109,,1267.47265625,
2,4119,,1868.299560546875,
2,4129,,1115.487060546875,
2,4139,,6234.31689453125,
2,4149,,3075.375732421875,
2,4159,,3378.81640625,
2,4169,,2740.1181640625,
2,4179,,1066.373779296875,
2,4189,,3560.16064453125,
2,4199,,9535.5234375,
2,4209,,255.58956909179688,
2,4219,,222.1853485107422,
2,4229,,1865.830078125,
2,4239,,1128.2989501953125,
2,4249,,2239.4443359375,
2,4259,,2444.080078125,
2,4269,,3623.155029296875,
2,4279,,1118.9952392578125,
2,4289,,1814.8936767578125,
2,4299,,299.11083984375,
2,4309,,601.9855346679688,
2,4319,,2843.482666015625,
2,4329,,1719.240478515625,
2,4339,,10661.1728515625,
2,4349,,2119.055908203125,
2,4359,,9291.3564453125,
2,4369,,5034.1884765625,
2,4379,,1008.99267578125,
2,4389,,1386.6068115234375,
2,4399,,1557.3477783203125,
2,4409,,365.7837219238281,
2,4419,,598.180419921875,
2,4429,,400.7184753417969,
2,4439,,214.26321411132812,
2,4449,,11253.41015625,
2,4459,,1511.1573486328125,
2,4469,,2862.389404296875,
2,4479,,4318.99755859375,
2,4489,,258.5274658203125,
2,4499,,679.5015869140625,
2,4509,,439.7816162109375,
2,4519,,192.5201873779297,
2,4529,,4240.39501953125,
2,4539,,1734.1044921875,
2,4549,,591.6956176757812,
2,4559,,5694.193359375,
2,4569,,9285.150390625,
2,4579,,4978.06982421875,
2,4589,,15598.7294921875,
2,4599,,7875.84765625,
2,4609,,9749.7314453125,
2,4619,,848.2781982421875,
2,4629,,20016.65625,
2,4639,,187.92994689941406,
2,4649,,540.5429077148438,
2,4659,,604.2921752929688,
2,4669,,1267.4267578125,
2,4679,,1280.134521484375,
2,4689,,536.9906616210938,
2,4699,,4735.2119140625,
2,4709,,348.5019226074219,
2,4719,,968.7532348632812,
2,4729,,351.56207275390625,
2,4739,,475.4015808105469,
2,4749,,291.23748779296875,
2,4759,,3146.290771484375,
2,4769,,7066.154296875,
2,4779,,411.85986328125,
2,4789,,560.0948486328125,
2,4799,,6375.18212890625,
2,4809,,902.1887817382812,
2,4819,,4470.8134765625,
2,4829,,1778.4794921875,
2,4839,,647.177734375,
2,4849,,3250.09716796875,
2,4859,,651.5731201171875,
2,4869,,2232.322998046875,
2,4879,,2091.44921875,
2,4889,,1301.4365234375,
2,4899,,567.0044555664062,
2,4909,,175.46739196777344,
2,4919,,391.05560302734375,
2,4929,,3873.183837890625,
2,4939,,215.23818969726562,
2,4949,,6380.0927734375,
2,4959,,278.7627868652344,
2,4969,,3561.569091796875,
2,4979,,386.39556884765625,
2,4989,,2327.442138671875,
2,4999,,159.78692626953125,
2,5009,,1515.99658203125,
2,5019,,2899.897705078125,
2,5029,,5330.34716796875,
